Species,Family,n,Positive,Negative
Phengaris ,Lycaenidae,1,0,1
Phengaris ,Lycaenidae,1,0,1
Phengaris ,Lycaenidae,1,0,1
Phengaris ,Lycaenidae,1,0,1
Phengaris ,Lycaenidae,1,0,1
Phengaris ,Lycaenidae,1,0,1
Phengaris ,Lycaenidae,1,0,1
Phengaris ,Lycaenidae,1,0,1
Phengaris ,Lycaenidae,1,0,1
Phengaris ,Lycaenidae,1,0,1
Phengaris ,Lycaenidae,1,0,1
Phengaris ,Lycaenidae,1,0,1
Phengaris ,Lycaenidae,1,0,1
Phengaris ,Lycaenidae,1,0,1
Phengaris ,Lycaenidae,1,0,1
Phlyaria ,Lycaenidae,1,0,1
Phyciodes ,Nymphalidae,1,0,1
Phyllonorycter,Gracillariidae,60,60,0
Phyllonorycter,Gracillariidae,2,2,0
Phyllonorycter,Gracillariidae,2,0,2
Phyllonorycter,Gracillariidae,1,0,1
Phyllonorycter,Gracillariidae,1,0,1
Phyllonorycter,Gracillariidae,1,1,0
Phyllonorycter,Gracillariidae,1,0,1
Phyllonorycter,Gracillariidae,2,2,0
Phyllonorycter,Gracillariidae,1,0,1
Phyllonorycter,Gracillariidae,1,0,1
Phyllonorycter,Gracillariidae,2,0,2
Phyllonorycter,Gracillariidae,1,0,1
Phyllonorycter,Gracillariidae,1,0,1
Phyllonorycter,Gracillariidae,1,0,1
Phyllonorycter,Gracillariidae,1,0,1
Phyllonorycter,Gracillariidae,2,0,2
Phyllonorycter,Gracillariidae,2,2,0
Phyllonorycter,Gracillariidae,1,0,1
Phyllonorycter,Gracillariidae,1,1,0
Phyllonorycter,Gracillariidae,1,0,1
Phyllonorycter,Gracillariidae,1,0,1
Phyllonorycter,Gracillariidae,2,0,2
Phyllonorycter,Gracillariidae,1,1,0
Pieris ,Pieridae,7,0,7
Pieris ,Pieridae,8,0,8
Pieris,Pieridae,90,5,85
Pieris,Pieridae,7,0,7
Pieris,Pieridae,39,1,38
Pieris,Pieridae,56,0,56
Pieris,Pieridae,161,5,156
Pieris,Pieridae,4,4,0
Pieris,Pieridae,NA,NA,NA
Plebejus,Lycaenidae,2,1,1
Plebejus ,Lycaenidae,10,2,8
Plodia,Pyralidae,12,0,12
Plodia,Pyralidae,NA,NA,NA
Plutella ,Plutellidae,NA,NA,NA
Plutella ,Plutellidae,122,10,112
Plutella ,Plutellidae,73,0,73
Plutella ,Plutellidae,41,5,36
Plutella ,Plutellidae,24,0,24
Plutella ,Plutellidae,6,0,6
Plutella ,Plutellidae,10,0,10
